id,name,category,variation,availability
clothing_41-3,Athletic Jacket,Tops,Red,Mabel Able Sisters 
clothing_41-4,Athletic Jacket,Tops,Green,Mabel Able Sisters 
clothing_41-5,Athletic Jacket,Tops,Blue,Mabel Able Sisters 
clothing_41-6,Athletic Jacket,Tops,Navy Blue,Mabel Able Sisters 
clothing_42-1,Athletic Outfit,Dress-Up,Red,Able Sisters 
clothing_42-2,Athletic Outfit,Dress-Up,Light Blue,Able Sisters 
clothing_42-3,Athletic Outfit,Dress-Up,Yellow,Able Sisters 
clothing_42-4,Athletic Outfit,Dress-Up,Green,Able Sisters 
clothing_42-5,Athletic Outfit,Dress-Up,Orange,Able Sisters 
clothing_42-6,Athletic Outfit,Dress-Up,Pink,Able Sisters 
clothing_42-7,Athletic Outfit,Dress-Up,Purple,Able Sisters 
clothing_42-8,Athletic Outfit,Dress-Up,Navy Blue,Able Sisters 
clothing_43-1,Athletic Pants,Bottoms,Black,Mabel Able Sisters 
clothing_43-2,Athletic Pants,Bottoms,Berry Red,Mabel Able Sisters 
clothing_43-3,Athletic Pants,Bottoms,Red,Mabel Able Sisters 
clothing_43-4,Athletic Pants,Bottoms,Green,Mabel Able Sisters 
clothing_43-5,Athletic Pants,Bottoms,Blue,Mabel Able Sisters 
clothing_43-6,Athletic Pants,Bottoms,Navy Blue,Mabel Able Sisters 
clothing_44-1,Athletic Shorts,Bottoms,Black,Mabel Able Sisters 
clothing_44-2,Athletic Shorts,Bottoms,Berry Red,Mabel Able Sisters 
clothing_44-3,Athletic Shorts,Bottoms,Red,Mabel Able Sisters 
clothing_44-4,Athletic Shorts,Bottoms,Green,Mabel Able Sisters 
clothing_44-5,Athletic Shorts,Bottoms,Blue,Mabel Able Sisters 
clothing_44-6,Athletic Shorts,Bottoms,Navy Blue,Mabel Able Sisters 
clothing_45-1,Attus Robe,Dress-Up,Red,Able Sisters 
clothing_45-2,Attus Robe,Dress-Up,Blue,Able Sisters 
clothing_45-3,Attus Robe,Dress-Up,Brown,Able Sisters 
clothing_46-1,Babouches,Shoes,Gray,Kicks 
clothing_46-2,Babouches,Shoes,Red,Kicks 
clothing_46-3,Babouches,Shoes,Pink,Kicks 
clothing_46-4,Babouches,Shoes,Orange,Kicks 
clothing_46-5,Babouches,Shoes,Yellow,Kicks 
clothing_46-6,Babouches,Shoes,Mint,Kicks 
clothing_46-7,Babouches,Shoes,Blue,Kicks 
clothing_46-8,Babouches,Shoes,Purple,Kicks 
clothing_47-1,Baby Romper,Dress-Up,Baby Pink,Able Sisters 
clothing_47-2,Baby Romper,Dress-Up,Baby Purple,Able Sisters 
clothing_47-3,Baby Romper,Dress-Up,Baby Orange,Able Sisters 
clothing_47-4,Baby Romper,Dress-Up,Baby Yellow,Able Sisters 
clothing_47-5,Baby Romper,Dress-Up,Baby Green,Able Sisters 
clothing_47-6,Baby Romper,Dress-Up,Baby Mint,Able Sisters 
clothing_47-7,Baby Romper,Dress-Up,Baby Blue,Able Sisters 
clothing_47-8,Baby Romper,Dress-Up,Baby Gray,Able Sisters 
clothing_48-1,Baby's Hat,Headwear,Baby Pink,Able Sisters 
clothing_48-2,Baby's Hat,Headwear,Baby Purple,Able Sisters 
clothing_48-3,Baby's Hat,Headwear,Baby Orange,Able Sisters 
clothing_48-4,Baby's Hat,Headwear,Baby Yellow,Able Sisters 
clothing_48-5,Baby's Hat,Headwear,Baby Green,Able Sisters 
clothing_48-6,Baby's Hat,Headwear,Baby Mint,Able Sisters 
clothing_48-7,Baby's Hat,Headwear,Baby Blue,Able Sisters 
clothing_48-8,Baby's Hat,Headwear,Baby Gray,Able Sisters 
clothing_49-1,Baby-Chick Costume,Dress-Up,Yellow,Able Sisters 
clothing_49-2,Baby-Chick Costume,Dress-Up,Blue,Able Sisters 
clothing_49-3,Baby-Chick Costume,Dress-Up,Beige,Able Sisters 
clothing_50-1,Back-Bow Socks,Socks,White,Kicks 
clothing_50-2,Back-Bow Socks,Socks,Black,Kicks 
clothing_50-3,Back-Bow Socks,Socks,Pink,Kicks 
clothing_50-4,Back-Bow Socks,Socks,Yellow,Kicks 
clothing_50-5,Back-Bow Socks,Socks,Peacock Blue,Kicks 
clothing_50-6,Back-Bow Socks,Socks,Blue,Kicks 
clothing_51-1,Baggy Shirt,Tops,Gray,Recycle box 
clothing_51-2,Baggy Shirt,Tops,Black,Recycle box 
clothing_51-3,Baggy Shirt,Tops,Brown,Recycle box 
clothing_52-1,Baji Jeogori,Dress-Up,Black,Able Sisters 
clothing_52-2,Baji Jeogori,Dress-Up,Aqua,Able Sisters 
clothing_52-3,Baji Jeogori,Dress-Up,Blue,Able Sisters 
clothing_52-4,Baji Jeogori,Dress-Up,Purple,Able Sisters 
clothing_53-1,Ballet Outfit,Dress-Up,White,Able Sisters 
clothing_53-2,Ballet Outfit,Dress-Up,Black,Able Sisters 
clothing_53-3,Ballet Outfit,Dress-Up,Red,Able Sisters 
clothing_53-4,Ballet Outfit,Dress-Up,Pink,Able Sisters 
clothing_53-5,Ballet Outfit,Dress-Up,Yellow,Able Sisters 
clothing_53-6,Ballet Outfit,Dress-Up,Mint,Able Sisters 
clothing_53-7,Ballet Outfit,Dress-Up,Blue,Able Sisters 
clothing_53-8,Ballet Outfit,Dress-Up,Purple,Able Sisters 
clothing_54-1,Ballet Slippers,Shoes,Black,Kicks 
clothing_54-2,Ballet Slippers,Shoes,Pink,Kicks 
clothing_54-3,Ballet Slippers,Shoes,Red,Kicks 
clothing_54-4,Ballet Slippers,Shoes,Yellow,Kicks 
clothing_54-5,Ballet Slippers,Shoes,Mint,Kicks 
clothing_54-6,Ballet Slippers,Shoes,Blue,Kicks 
clothing_54-7,Ballet Slippers,Shoes,Purple,Kicks 
clothing_54-8,Ballet Slippers,Shoes,White,Kicks 
clothing_55-1,Balloon Hat,Headwear,Orange,Able Sisters 
clothing_55-2,Balloon Hat,Headwear,Green,Able Sisters 
clothing_55-3,Balloon Hat,Headwear,Blue,Able Sisters 
clothing_55-4,Balloon Hat,Headwear,Rainbow,Able Sisters 
clothing_56-1,Ballroom Mask,Accessories,White,Able Sisters Apparel shop 
clothing_56-2,Ballroom Mask,Accessories,Black,Able Sisters Apparel shop 
clothing_57-1,Balmacaan Coat,Dress-Up,Avocado,Able Sisters 
clothing_57-2,Balmacaan Coat,Dress-Up,Navy Blue,Able Sisters 
clothing_57-3,Balmacaan Coat,Dress-Up,Beige,Able Sisters 
clothing_58-1,Bamboo Hat,Headwear,,Crafting 
clothing_59-1,Bandage,Accessories,,Mabel Able Sisters 
clothing_60-1,Barista Uniform,Tops,Black,Able Sisters Apparel shop 
clothing_60-2,Barista Uniform,Tops,Brown,Able Sisters Apparel shop 
clothing_60-3,Barista Uniform,Tops,Green,Able Sisters Apparel shop 
clothing_60-4,Barista Uniform,Tops,Chestnut,Able Sisters Apparel shop 
clothing_61-1,Barrette,Headwear,,Mabel Able Sisters 
clothing_62-1,Baseball Cap,Headwear,Orange,Mabel Able Sisters 
clothing_62-2,Baseball Cap,Headwear,Yellow,Mabel Able Sisters 
clothing_62-3,Baseball Cap,Headwear,Red,Mabel Able Sisters 
clothing_62-4,Baseball Cap,Headwear,Green,Mabel Able Sisters 
clothing_62-5,Baseball Cap,Headwear,Navy Blue,Mabel Able Sisters 
clothing_63-1,Baseball Shirt,Tops,White,Mabel Able Sisters 
clothing_63-2,Baseball Shirt,Tops,Gray,Mabel Able Sisters 
clothing_63-3,Baseball Shirt,Tops,Black,Mabel Able Sisters 
clothing_63-4,Baseball Shirt,Tops,Red,Mabel Able Sisters 
clothing_63-5,Baseball Shirt,Tops,Yellow,Mabel Able Sisters 
clothing_63-6,Baseball Shirt,Tops,Navy Blue,Mabel Able Sisters 
clothing_64-1,Baseball Uniform,Dress-Up,Orange,Able Sisters 
clothing_64-2,Baseball Uniform,Dress-Up,Yellow,Able Sisters 
clothing_64-3,Baseball Uniform,Dress-Up,Red,Able Sisters 
clothing_64-4,Baseball Uniform,Dress-Up,Green,Able Sisters 
clothing_64-5,Baseball Uniform,Dress-Up,Navy Blue,Able Sisters 
clothing_65-1,Basic Pumps,Shoes,Black,Able Sisters 
clothing_65-2,Basic Pumps,Shoes,Ivory,Able Sisters 
clothing_65-3,Basic Pumps,Shoes,Greige,Able Sisters 
clothing_65-4,Basic Pumps,Shoes,Red,Able Sisters 
clothing_65-5,Basic Pumps,Shoes,Green,Able Sisters 
clothing_65-6,Basic Pumps,Shoes,Blue,Able Sisters 
clothing_65-7,Basic Pumps,Shoes,Brown,Able Sisters 
clothing_65-8,Basic Pumps,Shoes,Camel,Able Sisters 
clothing_66-1,Basket Bag,Bags,Light Brown,Kicks 
clothing_66-2,Basket Bag,Bags,Brown,Kicks 
clothing_66-3,Basket Bag,Bags,White,Kicks 
clothing_67-1,Basket Pack,Bags,,Crafting 
clothing_68-1,Basketball Shoes,Shoes,Red,Mabel Able Sisters 
clothing_68-2,Basketball Shoes,Shoes,Pink,Mabel Able Sisters 
clothing_68-3,Basketball Shoes,Shoes,Orange,Mabel Able Sisters 
clothing_68-4,Basketball Shoes,Shoes,Green,Mabel Able Sisters 
clothing_68-5,Basketball Shoes,Shoes,Light Blue,Mabel Able Sisters 
clothing_68-6,Basketball Shoes,Shoes,Blue,Mabel Able Sisters 
clothing_68-7,Basketball Shoes,Shoes,Purple,Mabel Able Sisters 
clothing_68-8,Basketball Shoes,Shoes,Beige,Mabel Able Sisters 
clothing_69-1,Basketball Shorts,Bottoms,Black,Mabel Able Sisters 
clothing_69-2,Basketball Shorts,Bottoms,Red,Mabel Able Sisters 
clothing_69-3,Basketball Shorts,Bottoms,Orange,Mabel Able Sisters 
clothing_69-4,Basketball Shorts,Bottoms,Yellow,Mabel Able Sisters 
clothing_69-5,Basketball Shorts,Bottoms,Green,Mabel Able Sisters 
clothing_69-6,Basketball Shorts,Bottoms,Light Blue,Mabel Able Sisters 
clothing_69-7,Basketball Shorts,Bottoms,Blue,Mabel Able Sisters 
clothing_69-8,Basketball Shorts,Bottoms,Purple,Mabel Able Sisters 
clothing_70-1,Basketball Tank,Tops,Black,Mabel Able Sisters 
clothing_70-2,Basketball Tank,Tops,Red,Mabel Able Sisters 
clothing_70-3,Basketball Tank,Tops,Orange,Mabel Able Sisters 
clothing_70-4,Basketball Tank,Tops,Yellow,Mabel Able Sisters 
clothing_70-5,Basketball Tank,Tops,Green,Mabel Able Sisters 
clothing_70-6,Basketball Tank,Tops,Light Blue,Mabel Able Sisters 
clothing_70-7,Basketball Tank,Tops,Blue,Mabel Able Sisters 
clothing_70-8,Basketball Tank,Tops,Purple,Mabel Able Sisters 
clothing_71-1,Bat Umbrella,Umbrellas,,Nook's Cranny 
clothing_72-1,Bath-Towel Wrap,Dress-Up,White,Able Sisters 
clothing_72-2,Bath-Towel Wrap,Dress-Up,Black,Able Sisters 
clothing_72-3,Bath-Towel Wrap,Dress-Up,Pink,Able Sisters 
clothing_72-4,Bath-Towel Wrap,Dress-Up,Green,Able Sisters 
clothing_72-5,Bath-Towel Wrap,Dress-Up,Blue,Able Sisters 
clothing_72-6,Bath-Towel Wrap,Dress-Up,Purple,Able Sisters 
clothing_72-7,Bath-Towel Wrap,Dress-Up,Brown,Able Sisters 
clothing_73-1,Bathrobe,Dress-Up,White,Able Sisters 
clothing_73-2,Bathrobe,Dress-Up,Black,Able Sisters 
clothing_73-3,Bathrobe,Dress-Up,Pink,Able Sisters 
clothing_73-4,Bathrobe,Dress-Up,Green,Able Sisters 
clothing_73-5,Bathrobe,Dress-Up,Blue,Able Sisters 
clothing_73-6,Bathrobe,Dress-Up,Purple,Able Sisters 
clothing_73-7,Bathrobe,Dress-Up,Brown,Able Sisters 
clothing_74-1,Batter's Helmet,Headwear,Orange,Able Sisters 
clothing_74-2,Batter's Helmet,Headwear,Yellow,Able Sisters 
clothing_74-3,Batter's Helmet,Headwear,Red,Able Sisters 
clothing_74-4,Batter's Helmet,Headwear,Green,Able Sisters 
clothing_74-5,Batter's Helmet,Headwear,Navy Blue,Able Sisters 
clothing_75-1,Beach Umbrella,Umbrellas,,Nook's Cranny 
clothing_76-1,Beaded Clasp Purse,Bags,Purple,Kicks 
clothing_76-2,Beaded Clasp Purse,Bags,Pink,Kicks 
clothing_76-3,Beaded Clasp Purse,Bags,Navy Blue,Kicks 
clothing_77-1,Beaded Sandals,Shoes,Red,Mabel Able Sisters 
clothing_77-2,Beaded Sandals,Shoes,Orange,Mabel Able Sisters 
clothing_77-3,Beaded Sandals,Shoes,Yellow,Mabel Able Sisters 
clothing_77-4,Beaded Sandals,Shoes,Green,Mabel Able Sisters 
clothing_77-5,Beaded Sandals,Shoes,Purple,Mabel Able Sisters 
clothing_77-6,Beaded Sandals,Shoes,Beige,Mabel Able Sisters 
clothing_78-1,Beak,Accessories,,Mabel Able Sisters 
clothing_79-1,Bear Backpack,Bags,Brown,Kicks 
clothing_79-2,Bear Backpack,Bags,White,Kicks 
clothing_79-3,Bear Backpack,Bags,Pink,Kicks 
clothing_79-4,Bear Backpack,Bags,Light Blue,Kicks 
clothing_79-5,Bear Backpack,Bags,Black,Kicks 
clothing_80-1,Bear Cap,Headwear,Brown,Able Sisters 
clothing_80-2,Bear Cap,Headwear,Black,Able Sisters 
clothing_80-3,Bear Cap,Headwear,Pink,Able Sisters 
clothing_80-4,Bear Cap,Headwear,Blue,Able Sisters 
clothing_81-1,Bear Costume,Dress-Up,Brown,Able Sisters 
clothing_81-2,Bear Costume,Dress-Up,Black,Able Sisters 
clothing_81-3,Bear Costume,Dress-Up,Pink,Able Sisters 
clothing_81-4,Bear Costume,Dress-Up,Blue,Able Sisters 
clothing_82-1,Bear Tee,Tops,,Nook Shopping 
clothing_83-1,Bear Umbrella,Umbrellas,,Nook's Cranny (upgraded) 
clothing_84-1,Bekasab Robe,Dress-Up,Red,Able Sisters 
clothing_84-2,Bekasab Robe,Dress-Up,Camel,Able Sisters 
clothing_84-3,Bekasab Robe,Dress-Up,Blue,Able Sisters 
clothing_84-4,Bekasab Robe,Dress-Up,Purple,Able Sisters 
clothing_85-1,Bell-Bottoms,Bottoms,Orange,Able Sisters 
clothing_85-2,Bell-Bottoms,Bottoms,Green,Able Sisters 
clothing_85-3,Bell-Bottoms,Bottoms,Blue,Able Sisters 
clothing_85-4,Bell-Bottoms,Bottoms,Brown,Able Sisters 
clothing_85-5,Bell-Bottoms,Bottoms,Beige,Able Sisters 
clothing_86-1,Belted Dotted Dress,Dress-Up,Pink,Mabel Able Sisters 
clothing_86-2,Belted Dotted Dress,Dress-Up,Yellow,Mabel Able Sisters 
clothing_86-3,Belted Dotted Dress,Dress-Up,Green,Mabel Able Sisters 
clothing_86-4,Belted Dotted Dress,Dress-Up,Light Blue,Mabel Able Sisters 
clothing_87-1,Belted Wraparound Skirt,Bottoms,Red,Able Sisters 
clothing_87-2,Belted Wraparound Skirt,Bottoms,Yellow,Able Sisters 
clothing_87-3,Belted Wraparound Skirt,Bottoms,Green,Able Sisters 
clothing_87-4,Belted Wraparound Skirt,Bottoms,Blue,Able Sisters 
clothing_88-1,Beret,Headwear,White,Able Sisters 
clothing_88-2,Beret,Headwear,Gray,Able Sisters 
clothing_88-3,Beret,Headwear,Berry Red,Able Sisters 
clothing_88-4,Beret,Headwear,Mustard,Able Sisters 
clothing_88-5,Beret,Headwear,Green,Able Sisters 
clothing_88-6,Beret,Headwear,Blue,Able Sisters 
clothing_89-1,Bicycle Helmet,Headwear,Red,Able Sisters 
clothing_89-2,Bicycle Helmet,Headwear,Pink,Able Sisters 
clothing_89-3,Bicycle Helmet,Headwear,Orange,Able Sisters 
clothing_89-4,Bicycle Helmet,Headwear,Lime,Able Sisters 
clothing_89-5,Bicycle Helmet,Headwear,Green,Able Sisters 
clothing_89-6,Bicycle Helmet,Headwear,Blue,Able Sisters 
clothing_89-7,Bicycle Helmet,Headwear,Navy Blue,Able Sisters 
clothing_89-8,Bicycle Helmet,Headwear,Purple,Able Sisters 
clothing_90-1,Big-Star Tee,Tops,,Nook Shopping 
clothing_91-1,Biker Jacket,Tops,Black,Able Sisters 
clothing_91-2,Biker Jacket,Tops,Red,Able Sisters 
clothing_91-3,Biker Jacket,Tops,Yellow,Able Sisters 
clothing_91-4,Biker Jacket,Tops,Blue,Able Sisters 
clothing_91-5,Biker Jacket,Tops,Brown,Able Sisters 
clothing_91-6,Biker Jacket,Tops,Beige,Able Sisters 
clothing_92-1,Bingata Dress,Dress-Up,,Able Sisters 
clothing_93-1,Birthday Hat,Headwear,Pink,Birthday 
clothing_93-2,Birthday Hat,Headwear,Yellow,Birthday 
clothing_93-3,Birthday Hat,Headwear,Blue,Birthday 
clothing_94-1,Birthday Shades,Accessories,Red,Birthday 
clothing_94-2,Birthday Shades,Accessories,Pink,Birthday 
clothing_94-3,Birthday Shades,Accessories,Yellow,Birthday 
clothing_94-4,Birthday Shades,Accessories,Blue,Birthday 
clothing_95-1,Black Chic Umbrella,Umbrellas,,Nook's Cranny (upgraded) 
clothing_96-1,Black Lace Umbrella,Umbrellas,,Nook's Cranny 
clothing_97-1,Blossom Dress,Dress-Up,Pink,Mabel Able Sisters 
clothing_97-2,Blossom Dress,Dress-Up,Yellow,Mabel Able Sisters 
clothing_97-3,Blossom Dress,Dress-Up,Green,Mabel Able Sisters 
clothing_97-4,Blossom Dress,Dress-Up,Blue,Mabel Able Sisters 
clothing_97-5,Blossom Dress,Dress-Up,Purple,Mabel Able Sisters 
clothing_98-1,Blossom Tee,Tops,Pink,Mabel Able Sisters 
clothing_98-2,Blossom Tee,Tops,Yellow,Mabel Able Sisters 
clothing_98-3,Blossom Tee,Tops,Green,Mabel Able Sisters 
clothing_98-4,Blossom Tee,Tops,Blue,Mabel Able Sisters 
clothing_98-5,Blossom Tee,Tops,Purple,Mabel Able Sisters 
clothing_99-1,Blossoming Kimono,Dress-Up,Pink,Able Sisters 
