id,name,category,availability
interior_241,Glowing-Moss Forest Wall,Wallpaper,Crafting 
interior_242,Glowing-Moss Rug,Rugs,Crafting 
interior_243,Glowing-Moss Ruins Wall,Wallpaper,Crafting 
interior_244,Gold Iron-Parquet Flooring,Floors,Nook's Cranny 
interior_245,Gold-Screen Wall,Wallpaper,Crafting 
interior_246,Golden Flooring,Floors,Crafting 
interior_247,Golden Wall,Wallpaper,Crafting 
interior_248,Gravel Flooring,Floors,Saharah 
interior_249,Graveyard Wall,Wallpaper,Saharah's Co-Op 
interior_250,Gray Argyle-Tile Flooring,Floors,Nook's Cranny 
interior_251,Gray Brick Rug,Rugs,Saharah's Co-Op 
interior_252,Gray Diner Wall,Wallpaper,Nook's Cranny 
interior_253,Gray Floor Tiles,Rugs,Saharah's Co-Op 
interior_254,Gray Locker-Room Wall,Wallpaper,Saharah's Co-Op 
interior_255,Gray Molded-Panel Wall,Wallpaper,Nook's Cranny 
interior_256,Gray Shanty Wall,Wallpaper,Nook's Cranny 
interior_257,Gray Vinyl Flooring,Floors,Nook's Cranny 
interior_258,Gray-Shelving Wall,Wallpaper,Saharah's Co-Op 
interior_259,Gray-Striped Wall,Wallpaper,Nook's Cranny 
interior_260,Green Bamboo Mat,Rugs,Crafting 
interior_261,Green Blossoming Wall,Wallpaper,Nook's Cranny 
interior_262,Green Checked Rug,Rugs,Saharah 
interior_263,Green Delicate-Blooms Wall,Wallpaper,Nook's Cranny 
interior_264,Green Exercise Mat,Rugs,Saharah's Co-Op 
interior_265,Green Exquisite Rug,Rugs,Saharah's Co-Op 
interior_266,Green Floral Flooring,Floors,Nook's Cranny 
interior_267,Green Flower-Print Wall,Wallpaper,Nook's Cranny 
interior_268,Green Hawaiian Quilt Rug,Rugs,Saharah's Co-Op 
interior_269,Green Honeycomb Tile,Floors,Nook's Cranny 
interior_270,Green Honeycomb-Tile Wall,Wallpaper,Nook's Cranny 
interior_271,Green Intricate Wall,Wallpaper,Nook's Cranny 
interior_272,Green Kilim-Style Carpet,Rugs,Saharah 
interior_273,Green Kitchen Mat,Rugs,Saharah 
interior_274,Green Molded-Panel Wall,Wallpaper,Nook's Cranny 
interior_275,Green Painted-Wood Wall,Wallpaper,Nook's Cranny 
interior_276,Green Playroom Wall,Wallpaper,Nook's Cranny 
interior_277,Green Retro Flooring,Floors,Nook's Cranny 
interior_278,Green Rubber Flooring,Floors,Nook's Cranny 
interior_279,Green Shaggy Rug,Rugs,Saharah 
interior_280,Green Stripes Rug,Rugs,Saharah 
interior_281,Green Vinyl Flooring,Floors,Nook's Cranny 
interior_282,Green Wedding Flooring,Floors,Cyrus 
interior_283,Green Wedding Wall,Wallpaper,Cyrus 
interior_284,Green-Paint Flooring,Floors,Nook's Cranny 
interior_285,Green-Paint Wall,Wallpaper,Nook's Cranny 
interior_286,Greenhouse Wall,Wallpaper,Saharah's Co-Op 
interior_287,Groovy Wall,Wallpaper,Nook's Cranny 
interior_288,Gym Flooring,Floors,Saharah's Co-Op 
interior_289,Hallway Wall,Wallpaper,Saharah's Co-Op 
interior_290,Harmonious Wall,Wallpaper,Nook's Cranny 
interior_291,Heavy-Curtain Wall,Wallpaper,Saharah 
interior_292,Hello Kitty Flooring,Floors,Nook Shopping 
interior_293,Hello Kitty Rug,Rugs,Nook Shopping 
interior_294,Hello Kitty Wall,Wallpaper,Nook Shopping 
interior_295,Hexagonal Floral Flooring,Floors,Nook's Cranny 
interior_296,Highway Flooring,Floors,Saharah 
interior_297,Honeycomb Flooring,Floors,Crafting 
interior_298,Honeycomb Wall,Wallpaper,Crafting 
interior_299,Honeycomb-Tile Wall,Wallpaper,Nook's Cranny 
interior_300,Hopscotch Flooring,Floors,Saharah's Co-Op 
interior_301,Ice Flooring,Floors,Crafting 
interior_302,Ice Wall,Wallpaper,Crafting 
interior_303,Ice-Cream-Shoppe Wall,Wallpaper,Saharah's Co-Op 
interior_304,Iceberg Flooring,Floors,Crafting 
interior_305,Iceberg Wall,Wallpaper,Crafting 
interior_306,Imperial Rug,Rugs,Saharah's Co-Op 
interior_307,Imperial Tile,Floors,Saharah 
interior_308,Imperial Wall,Wallpaper,Saharah 
interior_309,Industrial Wall,Wallpaper,Saharah 
interior_310,Iron Entrance Mat,Rugs,Saharah 
interior_311,Ivory Medium Round Mat,Rugs,Saharah 
interior_312,Ivory Simple Bath Mat,Rugs,Saharah 
interior_313,Ivory Small Round Mat,Rugs,Saharah 
interior_314,Ivy Wall,Wallpaper,Saharah 
interior_315,Jingle Wall,Wallpaper,Crafting 
interior_316,Jointed-Mat Flooring,Floors,Nook's Cranny 
interior_317,Jungle Flooring,Floors,Crafting 
interior_318,Jungle Wall,Wallpaper,Crafting 
interior_319,Kerokerokeroppi Flooring,Floors,Nook Shopping 
interior_320,Kerokerokeroppi Rug,Rugs,Nook Shopping 
interior_321,Kerokerokeroppi Wall,Wallpaper,Nook Shopping 
interior_322,Kiki & Lala Flooring,Floors,Nook Shopping 
interior_323,Kiki & Lala Rug,Rugs,Nook Shopping 
interior_324,Kiki & Lala Wall,Wallpaper,Nook Shopping 
interior_325,Kisses Wall,Wallpaper,Saharah 
interior_326,Kitschy Tile,Floors,Nook's Cranny 
interior_327,Laboratory Wall,Wallpaper,Saharah 
interior_328,Lacy Rug,Rugs,Saharah 
interior_329,Ladybug Rug,Rugs,Flick 
interior_330,Lakitu's Cloud Rug,Rugs,Nook Shopping 
interior_331,Large Paradise Planning Rug,Rugs,Wardell 
interior_332,Lattice Wall,Wallpaper,Nook's Cranny 
interior_333,Lava Flooring,Floors,Saharah 
interior_334,Leopard-Print Flooring,Floors,Nook's Cranny 
interior_335,Light Bamboo Bath Mat,Rugs,Crafting 
interior_336,Light Bamboo Rug,Rugs,Crafting 
interior_337,Light Herringbone Flooring,Floors,Nook's Cranny 
interior_338,Light Parquet Flooring,Floors,Nook's Cranny 
interior_339,Light Square Tile,Rugs,Saharah's Co-Op 
interior_340,Light Stones Rug,Rugs,Saharah's Co-Op 
interior_341,Light Wood-Pattern Flooring,Floors,Nook's Cranny 
interior_342,Light-Brown Cow-Print Rug,Rugs,Saharah's Co-Op 
interior_343,Light-Wood Flooring Sheet,Rugs,Saharah's Co-Op 
interior_344,Light-Wood Flooring Tile,Rugs,Saharah's Co-Op 
interior_345,Limestone-Cave Wall,Wallpaper,Saharah's Co-Op 
interior_346,Lobby Flooring,Floors,Saharah 
interior_347,Lunar Surface,Floors,Crafting 
interior_348,Magic-Circle Flooring,Floors,Saharah's Co-Op 
interior_349,Magic-Circle Rug,Rugs,Saharah 
interior_350,Magma-Cavern Wall,Wallpaper,Saharah 
interior_351,Manga-Library Wall,Wallpaper,Crafting 
interior_352,Mangrove Wall,Wallpaper,Saharah 
interior_353,Maple-Leaf Rug,Rugs,Crafting 
interior_354,Marine Pop Flooring,Floors,Nook's Cranny 
interior_355,Marine Pop Wall,Wallpaper,C.J. 
interior_356,Meadow Vista,Wallpaper,Saharah 
interior_357,Mermaid Flooring,Floors,Crafting 
interior_358,Mermaid Rug,Rugs,Crafting 
interior_359,Mermaid Wall,Wallpaper,Crafting 
interior_360,Mint Dot Flooring,Floors,Nook's Cranny 
interior_361,Misty-Garden Wall,Wallpaper,Saharah 
interior_362,Mod Wall,Wallpaper,Nook's Cranny 
interior_363,Modern Shoji-Screen Wall,Wallpaper,Nook's Cranny 
interior_364,Modern Tearoom Wall,Wallpaper,Nook's Cranny 
interior_365,Modern Wavy Rug,Rugs,Saharah 
interior_366,Modern Wood Flooring,Floors,Nook's Cranny 
interior_367,Modern Wood Wall,Wallpaper,Crafting 
interior_368,Mom's Cool Kitchen Mat,Rugs,Mom 
interior_369,Mom's Lively Kitchen Mat,Rugs,Mom 
interior_370,Mom's Playful Kitchen Mat,Rugs,Mom 
interior_371,Mom's Reliable Kitchen Mat,Rugs,Mom 
interior_372,Money Flooring,Floors,Crafting 
interior_373,Monochromatic Dot Flooring,Floors,Nook's Cranny 
interior_374,Monochromatic Dotted Rug,Rugs,Saharah 
interior_375,Monochromatic Dotted Wall,Wallpaper,Nook's Cranny 
interior_376,Monochromatic Tile Flooring,Floors,Nook's Cranny 
interior_377,Monochromatic Wavy Rug,Rugs,Saharah 
interior_378,Monochromatic-Tile Wall,Wallpaper,Nook's Cranny 
interior_379,Moon Rug,Rugs,Nook Shopping 
interior_380,Moroccan Art-Tile Flooring,Floors,Saharah's Co-Op 
interior_381,Mortar Wall,Wallpaper,Saharah 
interior_382,Mosaic-Tile Wall,Wallpaper,Nook's Cranny 
interior_383,Mossy-Garden Flooring,Floors,Saharah 
interior_384,Mossy-Garden Wall,Wallpaper,Saharah 
interior_385,Museum Wall,Wallpaper,Saharah's Co-Op 
interior_386,Mush Rug,Rugs,Saharah 
interior_387,Mush Wall,Wallpaper,Crafting 
interior_388,Mushroom Mural,Wallpaper,Nook Shopping Nintendo 
interior_389,My Melody Flooring,Floors,Nook Shopping 
interior_390,My Melody Rug,Rugs,Nook Shopping 
interior_391,My Melody Wall,Wallpaper,Nook Shopping 
interior_392,Natural Flooring,Floors,Saharah's Co-Op 
interior_393,Natural Wooden-Deck Rug,Rugs,Saharah 
interior_394,Natural-Block Flooring,Floors,Nook's Cranny 
interior_395,Natural-Wood Flooring Sheet,Rugs,Saharah's Co-Op 
interior_396,Natural-Wood Flooring Tile,Rugs,Saharah's Co-Op 
interior_397,Natural-Wood Square Tile,Rugs,Saharah's Co-Op 
interior_398,Nook Inc. Botanical Rug,Rugs,Nook Miles Redemption 
interior_399,Nook Inc. Flooring,Floors,Nook Miles Redemption 
interior_400,Nook Inc. Rug,Rugs,Nook Miles Redemption 
interior_401,Nook Inc. Silk Rug,Rugs,Nook Miles Redemption 
interior_402,Nook Inc. Wall,Wallpaper,Nook Miles Redemption 
interior_403,Oasis Flooring,Floors,Saharah 
interior_404,Ocean-Horizon Wall,Wallpaper,Saharah 
interior_405,Office Wall,Wallpaper,Saharah 
interior_406,Old Board Flooring,Floors,Saharah's Co-Op 
interior_407,Old Stone-Tile Flooring,Floors,Saharah's Co-Op 
interior_408,Old Wallpaper,Wallpaper,Nook's Cranny 
interior_409,Olive Moroccan Flooring,Floors,Nook's Cranny 
interior_410,Olive Moroccan Wall,Wallpaper,Nook's Cranny 
interior_411,Operating-Room Flooring,Floors,Saharah's Co-Op 
interior_412,Operating-Room Wall,Wallpaper,Saharah's Co-Op 
interior_413,Orange Camo Flooring,Floors,Nook's Cranny 
interior_414,Orange Camo Wall,Wallpaper,Nook's Cranny 
interior_415,Orange Molded-Panel Wall,Wallpaper,Nook's Cranny 
interior_416,Orange Moroccan-Style Wall,Wallpaper,Saharah's Co-Op 
interior_417,Orange Retro Flooring,Floors,Nook's Cranny 
interior_418,Orange Rug,Rugs,Crafting 
interior_419,Orange Wall,Wallpaper,Crafting 
interior_420,Orange-Paint Wall,Wallpaper,Nook's Cranny 
interior_421,Outdoor-Window Wall,Wallpaper,Saharah's Co-Op 
interior_422,Oval Entrance Mat,Rugs,Saharah 
interior_423,Paintball Flooring,Floors,Saharah 
interior_424,Paintball Wall,Wallpaper,Saharah 
interior_425,Palace Tile,Floors,Saharah 
interior_426,Palace Wall,Wallpaper,Saharah 
interior_427,Paradise Planning Flooring,Floors,Wardell 
interior_428,Paradise Planning Wall,Wallpaper,Wardell 
interior_429,Parking Flooring,Floors,Saharah 
interior_430,Party Flooring,Floors,Birthday 
interior_431,Party Wall,Wallpaper,Birthday 
interior_432,Pastel Dotted Wall,Wallpaper,Nook's Cranny 
interior_433,Pastel Puzzle Flooring,Floors,Nook's Cranny 
interior_434,Pastel Puzzle Wall,Wallpaper,Nook's Cranny 
interior_435,Patchwork-Tile Flooring,Floors,Nook's Cranny 
interior_436,Patient-Ward Flooring,Floors,Saharah's Co-Op 
interior_437,Paw-Print Wall,Wallpaper,Nook's Cranny 
interior_438,Peach Checked Rug,Rugs,Saharah 
interior_439,Peach Rug,Rugs,Crafting 
interior_440,Peach Stripes Rug,Rugs,Saharah 
interior_441,Peach Two-Toned Tile Wall,Wallpaper,Nook's Cranny 
interior_442,Peach Wall,Wallpaper,Crafting 
interior_443,Pear Rug,Rugs,Crafting 
interior_444,Pear Wall,Wallpaper,Crafting 
interior_445,Perforated-Board Wall,Wallpaper,Nook's Cranny 
interior_446,Pharmacy-Shelving Wall,Wallpaper,Saharah's Co-Op 
interior_447,Pine-Board Flooring,Floors,Nook's Cranny 
interior_448,Pink Blossoming Wall,Wallpaper,Nook's Cranny 
interior_449,Pink Diner Wall,Wallpaper,Nook's Cranny 
interior_450,Pink Flower-Print Wall,Wallpaper,Nook's Cranny 
interior_451,Pink Hawaiian Quilt Rug,Rugs,Saharah's Co-Op 
interior_452,Pink Heart Rug,Rugs,Saharah 
interior_453,Pink Heart-Pattern Wall,Wallpaper,Nook's Cranny 
interior_454,Pink Painted-Wood Wall,Wallpaper,Nook's Cranny 
interior_455,Pink Playroom Wall,Wallpaper,Nook's Cranny 
interior_456,Pink Quilt Wall,Wallpaper,Nook's Cranny 
interior_457,Pink Rose Rug,Rugs,Saharah 
interior_458,Pink Shanty Wall,Wallpaper,Nook's Cranny 
interior_459,Pink Simple-Cloth Wall,Wallpaper,Nook's Cranny 
